,English,Santali
66305842,"His sister, Anuradha, is a professor at the University of Michigan.",ᱟᱹᱭᱤᱡᱽ ᱢᱮᱥᱨᱟ ᱚᱱᱩᱨᱟᱫᱷᱟ ᱢᱤᱥᱤᱜᱟᱱ ᱡᱮᱸᱜᱮᱫ ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮᱱ ᱥᱟᱪᱮᱫ ᱾
66315842,Anubai was married to Venkatrao Ghorpade of Ichalkaranji and Bhiubai was married to Abaji Naik Joshi of Baramati.,ᱟᱱᱩᱵᱟᱭ ᱨᱮᱱ ᱤᱪᱚᱞᱠᱚᱨᱧᱡᱤ ᱵᱷᱮᱝᱠᱚᱴᱨᱟᱣ ᱜᱷᱳᱨᱯᱚᱲᱮ ᱥᱟᱸᱶᱛᱮ ᱵᱟᱯᱞᱟ ᱥᱟᱹᱜᱟᱹᱭᱛᱮᱭ ᱛᱚᱞ ᱞᱮᱱᱟ ᱟᱨ ᱵᱷᱤᱣᱵᱟᱝ ᱵᱟᱨᱟᱢᱛᱤ ᱨᱮᱱ ᱟᱵᱟᱡᱤ ᱱᱟᱭᱮᱠ ᱡᱳᱥᱤ ᱥᱟᱸᱶᱛᱮ ᱵᱟᱯᱞᱟ ᱥᱟᱹᱜᱟᱹᱭ ᱛᱮᱭ ᱛᱚᱞ ᱞᱮᱱᱟ ᱾
66325842,"Baji Rao was born into a Bhat Family in Sinnar, near Nashik.",ᱵᱟᱡᱤ ᱨᱟᱣ ᱱᱟᱥᱤᱠ ᱥᱳᱨᱨᱮ ᱥᱤᱱᱱᱚ ᱨᱮ ᱢᱤᱫ ᱵᱷᱟᱴ ᱜᱷᱟᱨᱧᱡ ᱨᱮ ᱡᱟᱱᱟᱢ ᱞᱮᱱᱟᱭ ᱾
66335842,"Their fourth match was the semi-final against France, whom they defeated (100), with Chand scoring 4 goals.","ᱩᱱᱠᱩᱣᱟᱜ ᱯᱳᱱᱟᱜ ᱢᱮᱪ ᱫᱚ ᱛᱟᱸᱦᱮ ᱠᱟᱱᱟ ᱯᱷᱨᱟᱱᱥ ᱵᱤᱨᱩᱫᱷ ᱨᱮ ᱥᱮᱢᱤ ᱯᱷᱟᱭᱱᱟᱞ , ᱡᱟᱸᱦᱟ ᱨᱮᱫᱚ ᱟᱠᱳ ᱪᱟᱸᱫ ᱟᱜ ᱯᱳᱱ ᱜᱳᱞ ᱜᱚᱲᱚᱛᱮ ᱯᱷᱟᱱᱥ ᱠᱚ ᱦᱤᱨᱟᱟᱹᱣ ᱞᱮᱫ ᱠᱚᱣᱟ ( ᱑᱐ᱼ᱐ ᱜᱚᱞ )"
66345842,"As such, manager Pankaj Gupta informed the IHF that Ali Dara had to be sent immediately to replace the out of form Mirza Masood.","ᱚᱱᱟ ᱦᱤᱥᱟᱹᱵ ᱛᱮ , ᱢᱮᱱᱮᱡᱟᱨ ᱯᱚᱝᱠᱚᱡ ᱜᱩᱯᱛᱚ ᱟᱭ ᱮᱭᱤᱪ ᱮᱯᱷ ᱮ ᱵᱟᱰᱟᱭ ᱦᱳᱪᱳ ᱞᱮᱫᱮᱭᱟ ᱡᱮ , ᱯᱷᱚᱨᱢ ᱨᱮ ᱵᱟᱝ ᱮ ᱛᱟᱸᱦᱮ ᱠᱟᱱ ᱢᱤᱨᱡᱟ ᱢᱟᱥᱩᱫ ᱟᱜ ᱵᱚᱫᱚᱞ ᱛᱮ ᱟᱹᱰᱤ ᱞᱚᱜᱚᱱ ᱟᱞᱤ ᱫᱟᱨᱟ ᱫᱚ ᱵᱷᱮᱡᱟ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾"
66355842,"When Moinuddin Khanji, the Nawab of Manavadar declined to play, Chand was appointed captain.",ᱢᱟᱱᱵᱷᱟᱫᱚᱨ ᱱᱚᱵᱟᱵ ᱢᱚᱭᱱᱩᱫᱰᱤᱱ ᱠᱷᱟᱱᱡᱤ ᱠᱷᱮᱞ ᱵᱟᱭ ᱨᱮᱵᱮᱱ ᱞᱮᱱ ᱠᱷᱟᱱ ᱪᱟᱸᱫ ᱠᱚ ᱚᱫᱷᱤᱱᱟᱭᱚᱠ ᱠᱮᱫᱮᱭᱟ ᱾
66365842,"Suddenly I broke through and from midfield gave a long through pass to Ismail, who ran with Jesse Owens' speed half the length of the ground.","ᱴᱟᱴᱠᱟ ᱤᱧᱤᱧ ᱨᱟᱹᱯᱩᱫ ᱚᱰᱳᱠ ᱮᱱᱟ ᱟᱨ ᱛᱟᱞᱟ ᱢᱟᱴᱷ ᱠᱷᱚᱱ ᱤᱥᱢᱟᱭᱤᱞ ᱥᱮᱰ ᱢᱤᱫᱴᱟᱝ ᱡᱮᱞᱮᱧ ᱛᱷᱨᱩ ᱯᱟᱥ ᱤᱧ ᱮᱢᱟᱫᱮᱭᱟ, ᱡᱟᱦᱟᱭ ᱫᱚ ᱢᱟᱴᱷ ᱨᱮᱱᱟᱜ ᱟᱫᱷᱟ ᱡᱮᱞᱮᱧ ᱫᱷᱩᱨᱤᱭᱟᱹ ᱡᱮᱥᱤ ᱳᱭᱮᱱᱥ ᱟᱜ ᱨᱮᱥᱛᱮ ᱫᱟᱲᱟᱜ ᱛᱟᱦᱮᱱ᱾"
66375842,"In the final, on 11 August, India played against the host USA.",᱑᱑ ᱟᱜᱚᱥᱴ ᱯᱷᱟᱭᱱᱟᱞ ᱨᱮ ᱥᱟᱯᱲᱟᱣᱤᱡ ᱢᱟᱨᱠᱤᱱ ᱡᱩᱠᱛᱚᱨᱟᱥᱴᱨᱚ ᱵᱤᱨᱩᱫᱷ ᱨᱮ ᱵᱷᱟᱨᱚᱛ ᱮ ᱠᱷᱮᱞ ᱞᱮᱫᱟ ᱾
66385842,"On returning to India, the team was received by thousands of people at the Bombay harbour, compared to the three people who had seen them off.",ᱩᱱᱠᱚ ᱵᱤᱫᱟᱹᱭ ᱞᱟᱹᱜᱤᱫ ᱦᱮᱡ ᱟᱠᱟᱱ ᱯᱮ ᱦᱚᱲ ᱠᱷᱚᱱ ᱫᱚ ᱵᱷᱟᱨᱚᱛᱨᱮ ᱨᱩᱣᱟᱹᱲ ᱦᱮᱡ ᱛᱟᱭᱚᱢ ᱵᱚᱢᱵᱮ ᱵᱚᱱᱫᱚᱨ ᱨᱮ ᱜᱮᱥᱟᱭ ᱜᱮᱥᱟᱭ ᱦᱚᱲ ᱟᱛᱟᱝ ᱫᱟᱨᱟᱢ ᱠᱮᱫ ᱠᱚᱣᱟ ᱠᱚ ᱾
66395842,"On their part, Rajputana put every ounce of their efforts to score.","ᱩᱱᱠᱚ ᱛᱩᱞᱩᱡ, ᱨᱟᱡᱽᱯᱩᱛᱟᱱᱟ ᱟᱠᱚ ᱯᱟᱦᱴᱟ ᱠᱷᱚᱱ ᱜᱳᱞ ᱨᱮᱭᱟᱜ ᱟᱹᱰᱤᱭᱮ ᱨᱤᱠᱟᱹ ᱞᱮᱫᱟ ᱾"
66405842,After a lengthy journey from Herat the two met in Qazvin where a large feast and parties were held for the event.,ᱦᱮᱨᱟᱛ ᱠᱷᱚᱱᱟᱜ ᱟᱰᱤ ᱥᱟᱹᱜᱤᱧ ᱛᱟᱲᱟᱢ ᱯᱚᱨᱮ ᱠᱟᱡᱵᱷᱤᱱ ᱨᱮ ᱵᱟᱱᱟᱦᱚᱲᱟᱜ ᱧᱟᱯᱟᱢ ᱦᱳᱭᱳᱜᱼᱟ ᱾ ᱡᱟᱸᱦᱟ ᱨᱮ ᱟᱰᱤ ᱢᱟᱨᱟᱝ ᱡᱚᱢ ᱨᱮᱱᱟᱜ ᱥᱚᱵᱷᱟ ᱟᱨ ᱟᱭᱢᱟ ᱡᱚᱢ ᱨᱮᱱᱟᱜ ᱟᱥᱚᱨ ᱠᱚ ᱥᱟᱯᱲᱟᱣ ᱞᱮᱫᱟ ᱾
66415842,"Halfway through this offensive Humayun had to abandon it and concentrate on Gujarat, where a threat from Ahmed Shah had to be met.","ᱱᱚᱣᱟ ᱟᱠᱠᱨᱚᱢᱚᱱ ᱛᱟᱞᱟᱢᱟᱞᱟ ᱚᱠᱛᱚ ᱦᱩᱢᱟᱭᱩᱱ ᱱᱚᱣᱟ ᱫᱚᱭ ᱵᱟᱜᱤᱭᱟᱜ ᱛᱟᱦᱮᱫ ᱟᱨ ᱜᱩᱡᱽᱨᱟᱴ ᱨᱮ ᱢᱚᱱᱮᱭ ᱮᱢᱞᱮᱫ ᱛᱟᱭᱟ , ᱡᱟᱦᱟ ᱨᱮᱫᱚ ᱟᱦᱚᱢᱮᱫ ᱥᱟᱦᱚ ᱥᱟᱢᱟᱝ ᱫᱟᱯᱨᱟᱢ ᱨᱮᱭ ᱯᱟᱲᱟᱣ ᱞᱮᱱᱟ ᱾"
66425842,Ambedkar's first wife Ramabai died in 1935 after a long illness.,ᱟᱢᱵᱮᱫᱠᱚᱨ ᱨᱮᱱ ᱯᱳᱭᱞᱳ ᱮᱨᱟ ᱨᱚᱢᱟᱵᱟᱝ ᱑᱙᱓᱕ ᱥᱟᱹᱦᱤᱛᱨᱮ ᱟᱹᱰᱤᱫᱤᱱ ᱨᱩᱭᱟᱹ ᱛᱟᱭᱚᱢ ᱜᱩᱨ ᱮᱱᱟᱭ ᱾
66435842,"He saw Shudras and Ati Shudras who form the lowest caste in the ritual hierarchy of the caste system, as separate from Untouchables.","ᱡᱟᱸᱦᱟᱭ ᱜᱟᱛᱟᱠ ᱵᱚᱱᱫᱷᱮᱡ ᱨᱮᱱᱟᱜ ᱥᱮᱨᱣᱟᱛᱟᱞᱟᱛᱮ ᱥᱟᱡᱟᱣ ᱟᱠᱟᱱ ᱥᱟᱱᱟᱢ ᱠᱷᱚᱱ ᱞᱟᱛᱟᱨ ᱨᱮ ᱜᱟᱛᱟᱠ ᱠᱚ ᱵᱮᱱᱟᱣ ᱟᱠᱟᱫ, ᱩᱱᱤ ᱫᱚ ᱩᱱᱠᱚ ᱥᱩᱫᱨᱚ ᱟᱨ ᱟᱹᱰᱤ ᱥᱩᱫᱨᱚᱠᱚ ᱫᱚ ᱵᱟᱝ ᱡᱚᱴᱮᱫᱠᱚ ᱠᱷᱚᱱ ᱵᱷᱮᱜᱟᱨ ᱞᱮᱠᱟᱛᱮᱭ ᱧᱮᱞ ᱞᱮᱫ ᱠᱚᱣᱟ ᱾"
66445842,"The procession was headed by a military band and a batch of scouts; women and men walked with discipline, order and determination to see the god for the first time.","ᱱᱚᱣᱟ ᱡᱚᱢᱮᱞᱟᱭ ᱨᱮᱭᱟᱜ ᱟᱭᱩᱨᱤᱡ ᱮ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱢᱤᱫᱴᱮᱱ ᱥᱟᱢᱚᱨᱤᱠ ᱵᱮᱱᱰ ᱟᱨ ᱢᱤᱫ ᱫᱚᱞ ᱥᱠᱟᱣᱴ;ᱛᱤᱨᱞᱟᱹ ᱟᱨ ᱠᱚᱲᱟᱦᱚᱯᱚᱱ ᱱᱮᱭᱟᱢᱞᱮᱠᱟᱛᱮ, ᱟᱹᱨᱤ ᱟᱨ ᱠᱤᱨᱤᱭᱟᱹ ᱱᱤᱭᱟᱹᱛᱮ ᱯᱟᱹᱦᱤᱞ ᱫᱷᱚᱢ ᱵᱚᱸᱜᱟ ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ ᱮ ᱛᱟᱲᱟᱢ ᱞᱮᱫᱟ ᱾"
66455842,"His book collection was dispatched on a different ship from the one he was on, and that ship was torpedoed and sunk by a German submarine.",ᱟᱡᱟᱜ ᱛᱩᱢᱟᱹᱞ ᱯᱩᱛᱷᱤ ᱠᱚᱫᱚ ᱟᱡ ᱡᱟᱸᱦᱟ ᱡᱟᱦᱟᱡ ᱨᱮᱭ ᱛᱟᱸᱦᱮ ᱠᱟᱱᱟ ᱚᱱᱟ ᱠᱷᱚᱱ ᱮᱴᱟᱜ ᱟᱨᱢᱤᱫ ᱡᱟᱦᱟᱡ ᱨᱮ ᱠᱳᱞ ᱦᱩᱭᱞᱮᱱᱟ ᱟᱨ ᱚᱱᱟ ᱡᱟᱦᱟᱡ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱡᱟᱨᱢᱟᱱ ᱰᱩᱵᱩᱡ ᱡᱟᱦᱟᱡ ᱫᱟᱨᱟᱭᱛᱮ ᱴᱚᱨᱯᱮᱰᱳᱼᱟᱜ ᱛᱟᱹᱠᱤᱡᱛᱮ ᱩᱱᱩᱢ ᱚᱪᱚ ᱦᱩᱭᱞᱮᱱᱟ ᱾
66465842,"The name ""Iltutmish"" literally means ""maintainer of the kingdom"" in Turkic.","ᱛᱩᱨᱠᱤ ᱯᱟᱹᱨᱥᱤᱛᱮᱵ ""ᱤᱞᱛᱩᱫᱢᱤᱥ"" ᱧᱩᱛᱩᱢ ᱨᱮᱭᱟᱜ ᱟᱹᱲᱟᱹ ᱢᱮᱱᱮᱫ ᱦᱳᱭᱳᱜ ᱠᱟᱱᱟ ""ᱯᱚᱱᱚᱛ ᱨᱩᱠᱷᱟᱹᱭᱟᱹ"" ᱾"
66475842,"Iltutmish organized the administration of the Sultanate, laying the foundation for its dominance over northern India until the Mughal invasion.",ᱤᱞᱛᱩᱫᱢᱤᱥ ᱥᱩᱞᱛᱟᱱᱤ ᱯᱚᱨᱚᱥᱟᱥᱚᱱ ᱠᱚ ᱵᱮᱨᱮᱫ ᱞᱮᱫᱟ ᱟᱨ ᱢᱩᱜᱷᱚᱞ ᱟᱜᱨᱟᱥᱚᱱ ᱢᱟᱲᱟᱝ ᱫᱷᱟᱹᱵᱤᱡ ᱩᱛᱛᱚᱨ ᱵᱷᱟᱨᱚᱛᱨᱮ ᱚᱱᱟ ᱟᱹᱭᱫᱷᱟᱹᱨ ᱞᱮᱠᱟᱛᱮ ᱛᱷᱟᱯᱚᱱ ᱞᱮᱱᱟ ᱾
66485842,The first series was a six Test tour to Pakistan.,ᱯᱩᱭᱞᱩ ᱥᱤᱨᱤᱡᱽ ᱫᱚ ᱛᱟᱸᱦᱮ ᱠᱟᱱᱟ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱴᱮᱥᱴ ᱨᱮᱱᱟᱜ ᱯᱟᱠᱤᱱᱛᱟᱱ ᱥᱟᱸᱜᱷᱟᱨ ᱾
66495842,"It was the first Test between the two nations, with Sri Lankan having only recently been awarded Test status.",ᱱᱚᱣᱟ ᱫᱚ ᱵᱟᱨᱭᱟ ᱫᱤᱥᱚᱢ ᱢᱩᱫ ᱨᱮ ᱯᱳᱭᱞᱳ ᱴᱮᱥᱴ ᱛᱟᱦᱮ ᱠᱟᱱᱟ ᱟᱨ ᱥᱨᱤᱞᱚᱝᱠᱟ ᱱᱟᱦᱟᱜ ᱴᱮᱥᱴᱚ ᱠᱷᱮᱞᱚᱰ ᱨᱮᱱᱟᱜ ᱢᱚᱨᱡᱟᱫᱟ ᱠᱚ ᱧᱟᱢ ᱞᱮᱫᱟ ᱾
66505842,The 1981-82 Indian season saw a hard-fought 10 series win over England in six Tests.,᱑᱙᱘᱑ᱼ᱘᱒ ᱥᱟᱦᱤᱛ ᱨᱮᱱᱟ ᱵᱷᱟᱨᱚᱛᱤᱭᱟᱹ ᱢᱚᱨᱥᱩᱢ ᱨᱮ ᱤᱝᱞᱚᱱᱰ ᱵᱤᱨᱩᱫ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱴᱮᱥᱴ ᱨᱮ ᱑᱐ ᱜᱚᱴᱟᱝ ᱫᱚ ᱟᱹᱰᱤ ᱦᱟᱰᱰᱟᱦᱟᱰᱰᱤ ᱥᱤᱨᱤᱡ ᱡᱤᱛᱠᱟᱹᱨ ᱮ ᱧᱮᱞ ᱞᱮᱫᱟ ᱾
66515842,"After failing to score in the Second Test, he scored 107 and 182 not out in the Third Test at Calcutta, another high scoring draw.",ᱫᱚᱥᱟᱨ ᱴᱮᱥᱴᱨᱮ ᱦᱚ ᱨᱟᱱ ᱨᱮᱭ ᱵᱤᱨᱛᱦᱟᱹᱭᱮᱱ ᱛᱟᱭᱚᱢ ᱠᱚᱞᱠᱟᱛᱟᱨᱮ ᱦᱩᱭᱮᱱ ᱛᱮᱥᱟᱨ ᱴᱮᱥᱴᱨᱮ ᱑᱐᱗ ᱟᱨ ᱵᱟᱝ ᱦᱤᱨᱟᱹᱣ ᱑᱘᱒ ᱨᱟᱱ ᱨᱮᱭᱟᱜ ᱤᱱᱤᱝᱥᱮ ᱠᱷᱮᱞᱞᱮᱱᱟ ᱾
66525842,"This episode not only spoiled the Maratha relations with the Rajputs, but also resulted in internal strife among the Marathas.","ᱱᱤᱭᱟᱹ ᱦᱟᱹᱴᱤᱧ ᱫᱚ ᱮᱠᱟᱞ ᱨᱟᱡᱯᱩᱛᱠᱚ ᱥᱟᱶ ᱢᱟᱨᱟᱴᱷᱟ ᱠᱚ ᱥᱟᱹᱜᱟᱹᱭ ᱵᱟᱝ ᱵᱟᱹᱲᱤᱪ ᱞᱮᱫ, ᱢᱟᱨᱟᱴᱷᱟ ᱠᱚ ᱢᱩᱫᱨᱮ ᱵᱷᱤᱛᱨᱤᱨᱮ ᱵᱤᱵᱟᱹᱫ ᱠᱚ ᱥᱤᱨᱡᱟᱹᱱ ᱞᱮᱫᱟ᱾"
66535842,"On 14 September 1752, the two took oaths at Khandoba temple in Jejuri, promising mutual peace.",᱑᱗᱕᱒ ᱥᱟᱹᱦᱤᱛ ᱨᱮᱭᱟᱜ ᱑᱔ ᱥᱮᱯᱴᱮᱢᱵᱚᱨ ᱡᱮᱡᱩᱨᱤᱨ ᱠᱷᱟᱱᱰᱳᱵᱟ ᱢᱩᱫᱤᱞᱨᱮ ᱩᱱᱠᱩ ᱟᱠᱳ ᱛᱟᱞᱟᱨᱮ ᱱᱤᱨᱟᱹᱭ ᱞᱟᱹᱜᱤᱫ ᱠᱤᱨᱭᱟᱹ ᱠᱚ ᱦᱟᱛᱟᱭ ᱞᱮᱫᱟ ᱾
66545842,"Although she crushed the mutiny, she realized that it would be difficult to continue the fight against Balaji Rao.","ᱮᱱᱦᱚᱸ ᱩᱱᱤ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱦᱟᱹᱯᱤᱫ ᱞᱮᱫᱟᱭ , ᱢᱮᱱᱠᱷᱟᱱ ᱵᱩᱡᱷᱟᱹᱣ ᱧᱟᱢ ᱞᱮᱫᱟᱭ ᱡᱮ ᱵᱟᱞᱟᱡᱤ ᱨᱟᱣ ᱵᱤᱨᱩᱫᱷᱨᱮ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱪᱟᱞᱟᱣ ᱤᱫᱤ ᱫᱚ ᱟᱡᱷᱟᱴ ᱦᱳᱭᱳᱜᱼᱟ ᱾"
66555842,"He then joined Trimbakrao, who had been keeping a watch on Gaekwad's army.",ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱩᱱᱤ ᱛᱤᱨᱤᱢᱠᱚᱨᱟᱣ ᱥᱟᱸᱶᱛᱮ ᱢᱤᱫ ᱞᱮᱱᱟᱭ ᱟᱨ ᱜᱟᱭᱮᱠᱳᱭᱟᱲ ᱨᱮᱱ ᱯᱷᱟᱹᱫ ᱪᱮᱛᱟᱱ ᱨᱮ ᱱᱚᱡᱚᱨᱮ ᱫᱚᱦᱚ ᱞᱮᱫᱟᱭ ᱾
66565842,"He then marched to Satara, where he was received by Tarabai.",ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱩᱱᱤ ᱥᱟᱛᱟᱨᱟ ᱥᱮᱫ ᱥᱟᱸᱜᱷᱟᱨ ᱞᱮᱫᱟᱭ ᱾ ᱡᱟᱸᱦᱟᱨᱮ ᱛᱟᱨᱟᱵᱟᱝ ᱩᱱᱤ ᱥᱟᱨᱦᱟᱣ ᱞᱮᱫᱮᱭᱟᱭ ᱾
66575842,"Umabai dispatched 15,000 troops led by her lieutenant Damaji Rao Gaekwad in support of Tarabai's rebellion.","ᱛᱟᱨᱟᱵᱟᱝ ᱟᱜ ᱞᱟᱹᱲᱦᱟᱹᱭᱨᱮ ᱦᱮᱸ ᱥᱟᱹᱨᱤ ᱠᱟᱛᱮ ᱩᱢᱟᱵᱟᱝ ᱟᱪ ᱨᱮᱱ ᱯᱷᱟᱹᱫᱽ ᱢᱩᱲᱩᱫ ᱫᱟᱢᱟᱡᱤ ᱨᱟᱣ ᱜᱟᱭᱮᱠᱳᱭᱟᱲ ᱦᱚᱛᱮᱛᱮ ᱑᱕,᱐᱐᱐ ᱯᱷᱟᱹᱫ ᱵᱷᱮᱡᱟ ᱞᱮᱫ ᱠᱳᱣᱟᱭ ᱾"
66585842,Tarabai was unsuccessful in getting support from other ministers and the would-be Nizam Salabat Jung.,ᱛᱟᱨᱟᱵᱟᱝ ᱮᱴᱟᱜ ᱢᱚᱱᱛᱤᱨᱤ ᱟᱨ ᱟᱪ ᱦᱤᱞᱤ ᱱᱤᱡᱟᱢ ᱥᱟᱞᱟᱵᱚᱛ ᱡᱚᱝ ᱮ ᱦᱮᱸ ᱥᱟᱹᱨᱤ ᱧᱟᱢ ᱞᱟᱹᱜᱤᱫ ᱠᱟᱹᱨᱤᱜᱷᱟᱢ ᱞᱮᱱᱟᱭ ᱾
66595842,"Raghoji then complained to Chhatrapati Shahu, and got himself appointed the in-charge of Marathas in Orissa, Bengal and Bihar.","ᱩᱱᱫᱚ ᱨᱟᱜᱷᱳᱡᱤ ᱪᱷᱚᱛᱨᱚᱯᱚᱛᱤ ᱥᱟᱦᱩ ᱴᱷᱮᱱᱮ ᱞᱟᱹᱞᱤᱥ ᱠᱮᱫᱟ ᱟᱨ ᱟᱡᱫᱚ ᱩᱲᱤᱥᱥᱟ, ᱵᱟᱝᱞᱟ ᱟᱨ ᱵᱤᱚᱦᱟᱨ ᱨᱮ ᱢᱟᱨᱟᱴᱷᱟ ᱠᱚᱭᱤᱡ ᱢᱩᱠᱷᱤᱭᱟᱹ ᱞᱮᱠᱟᱛᱮᱭ ᱵᱟᱦᱟᱞᱮᱱᱟ ᱾"
66605842,"However, he was not on good terms with the Peshwa.","ᱮᱱᱠᱷᱟᱱ, ᱯᱮᱥᱷᱳᱭᱟ ᱥᱟᱶ ᱩᱱᱤᱭᱟᱜ ᱥᱟᱹᱜᱟᱹᱭ ᱵᱷᱟᱞᱤ ᱵᱟᱝ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ᱾"
66615842,Many successful economic changes took place during his tenure.,ᱟᱡᱟᱜ ᱵᱤᱫᱟᱹᱞ ᱨᱮ ᱟᱭᱢᱟ ᱥᱤᱜᱤᱞᱟᱱ ᱠᱟᱹᱣᱰᱤᱟᱹᱨᱤ ᱨᱮᱱᱟᱜ ᱵᱚᱱᱚᱫᱚᱞ ᱦᱩᱭᱞᱮᱱᱟ ᱾
66625842,"Like his father before him, he fought battles on behalf of foreign nations which were not in the best interests of Shah Alam II.",ᱟᱡ ᱞᱟᱦᱟᱨᱮ ᱟᱡ ᱵᱟᱵᱟ ᱞᱮᱠᱟᱜᱮ ᱩᱱᱤᱫᱚ ᱵᱟᱦᱨᱮ ᱫᱤᱥᱚᱢ ᱠᱚ ᱟᱛᱮᱭ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱞᱮᱱᱟ ᱡᱟᱸᱦᱟ ᱫᱚ ᱥᱟᱦᱚ ᱟᱞᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱵᱷᱟᱜᱮ ᱵᱟᱝ ᱛᱟᱸᱦᱮ ᱠᱟᱱᱟ ᱾
66635842,"Along with his father Hyder Ali, he embarked on an ambitious program of economic development, aiming to increase the wealth and revenue of Mysore.",ᱩᱱᱤᱨᱮᱱ ᱟᱡ ᱵᱟᱵᱟ ᱦᱟᱭᱫᱟᱨ ᱟᱞᱤ ᱥᱟᱶ ᱩᱱᱤ ᱢᱚᱦᱤᱥᱩᱨ ᱟᱜ ᱰᱷᱚᱱ ᱟᱨ ᱠᱟᱹᱣᱰᱤ ᱢᱩᱨᱟᱭ ᱢᱟᱲᱟᱝ ᱞᱟᱹᱜᱤᱫ ᱠᱟᱣᱰᱤ ᱟᱹᱨᱤ ᱩᱛᱱᱟᱣᱨᱮ ᱢᱤᱫᱴᱮᱱ ᱩᱥᱩᱞᱞᱟᱞᱪᱤᱭᱟ ᱠᱟᱹᱢᱤ ᱮᱛᱦᱚᱵ ᱞᱮᱫᱟ᱾
66645842,"He then descended into the Carnatic, eventually reaching Pondicherry, where he attempted without success to draw the French into the conflict.","ᱱᱚᱣᱟ ᱛᱟᱭᱚᱢ ᱩᱱᱤ ᱫᱚ ᱠᱚᱨᱱᱟᱴᱚᱠ ᱛᱮᱭ ᱯᱷᱮᱰ ᱮᱱᱟ , ᱢᱩᱪᱟᱹᱫ ᱨᱮ ᱯᱚᱱᱰᱤᱪᱮᱨᱤ ᱛᱮᱭ ᱥᱮᱴᱮᱨ ᱮᱱᱟ , ᱡᱟᱦᱟᱸᱨᱮ ᱩᱱᱤ ᱫᱚ ᱯᱷᱚᱨᱟᱥᱤ ᱠᱚ ᱠᱟᱹᱭᱡᱟᱹ ᱚᱨ ᱟᱜᱩᱭ ᱵᱤᱨᱛᱷᱟᱹᱭ ᱠᱩᱨᱩᱢᱩᱴᱩ ᱞᱮᱫᱟ ᱾"
66655842,Hyder Ali accepted the authority of Madhavrao who gave him the title of Nawab of Mysore.,"ᱦᱟᱭᱫᱟᱨ ᱟᱞᱤ ᱢᱟᱫᱷᱚᱵ ᱨᱟᱣ ᱟᱜ ᱠᱚᱨᱛᱤᱛᱵᱚ ᱥᱤᱠᱟᱨ ᱞᱮᱫᱟᱭ , ᱡᱟᱸᱦᱟ ᱫᱚ ᱩᱱᱤ ᱢᱚᱦᱤᱥᱩᱨ ᱨᱮᱱ ᱱᱚᱵᱟᱵ ᱩᱯᱟᱫᱷᱤᱭ ᱮᱢᱟᱫᱮ ᱛᱟᱸᱦᱮᱫ ᱾"
66665842,"One of his most expensive projects, the film was also difficult to finance.",ᱩᱱᱤ ᱥᱟᱱᱟᱢ ᱠᱷᱚᱱ ᱟᱭᱢᱟ ᱠᱷᱚᱨᱚᱪ ᱯᱨᱚᱠᱚᱞᱯᱚ ᱠᱚ ᱢᱩᱫᱨᱮ ᱢᱤᱫᱴᱮᱱ ᱪᱤᱛᱟᱹᱨ ᱞᱟᱹᱜᱤᱫ ᱠᱟᱹᱣᱰᱤ ᱡᱟᱣᱨᱟ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱠᱮᱴᱮᱡ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ᱾
66675842,Ray found that his script had been copyrighted and the fee appropriated by Michael Wilson.,"ᱥᱚᱛᱛᱚᱡᱤᱛ ᱨᱟᱭᱮ ᱥᱤᱨᱡᱟᱹᱣ ᱞᱮᱫᱟ ᱡᱮ, ᱟᱡᱟᱜ ᱚᱞ ᱫᱚᱦᱚ ᱯᱩᱛᱷᱤ ᱨᱮᱭᱟᱜ ᱠᱚᱯᱤᱨᱟᱭᱤᱴ ᱠᱚᱨᱟᱣ ᱦᱩᱭᱟᱠᱟᱱᱟ ᱟᱨ ᱢᱟᱭᱠᱮᱞ ᱩᱭᱤᱞᱥᱚᱱ ᱫᱟᱨᱟᱭᱛᱮ ᱠᱩᱲᱟᱹᱭ ᱫᱚ ᱜᱚᱴᱟ ᱦᱩᱭᱞᱮᱱᱟ ᱾"
